customer_id,Recency,Frequency,Monetary,AvgOrderValue,PurchaseRate,CLV_1yr,R,F,M,RFM_Score,RFM_Segment,Cluster,Segment
C00044,2,9,1228.77,136.53,0.024657534,1228.77,5,4,4,13,Champions,1,Loyalists
C00045,163,2,198.27,99.135,0.005479452,198.27,2,1,2,5,Dormant,0,At-Risk
C00046,56,7,1088.44,155.4914286,0.019178082,1088.44,3,3,4,10,Loyalists,3,At-Risk
C00047,128,5,427.2,85.44,0.01369863,427.2,2,3,3,8,At-Risk,0,At-Risk
C00048,113,2,130.08,65.04,0.005479452,130.08,3,1,2,6,At-Risk,0,At-Risk
C00049,5,13,4339.68,333.8215385,0.035616438,4339.68,5,5,5,15,Champions,1,Loyalists
C00050,319,2,134.64,67.32,0.005479452,134.64,1,1,2,4,Dormant,2,Dormant
C00051,155,5,447.44,89.488,0.01369863,447.44,2,3,3,8,At-Risk,0,At-Risk
C00052,256,3,169.04,56.34666667,0.008219178,169.04,1,2,2,5,Dormant,2,Dormant
C00053,336,2,122.06,61.03,0.005479452,122.06,1,1,2,4,Dormant,2,Dormant
C00054,120,3,177.39,59.13,0.008219178,177.39,2,2,2,6,At-Risk,0,At-Risk
C00055,387,1,79.44,79.44,0.002739726,79.44,1,1,1,3,Dormant,2,Dormant
C00056,15,16,4451.85,278.240625,0.043835616,4451.85,5,5,5,15,Champions,1,Loyalists
C00057,8,12,3306.93,275.5775,0.032876712,3306.93,5,4,5,14,Champions,1,Loyalists
C00058,11,17,5048.03,296.9429412,0.046575342,5048.03,5,5,5,15,Champions,1,Loyalists
C00059,52,6,786.9,131.15,0.016438356,786.9,3,3,3,9,At-Risk,3,At-Risk
C00060,53,17,2464.53,144.9723529,0.046575342,2464.53,3,5,4,12,Loyalists,1,Loyalists
C00061,94,1,153.16,153.16,0.002739726,153.16,3,1,2,6,At-Risk,0,At-Risk
C00062,351,3,160.02,53.34,0.008219178,160.02,1,2,2,5,Dormant,2,Dormant
C00063,44,9,1366.89,151.8766667,0.024657534,1366.89,4,4,4,12,Loyalists,3,At-Risk
C00064,68,7,1229.99,175.7128571,0.019178082,1229.99,3,3,4,10,Loyalists,3,At-Risk
C00065,111,6,572.55,95.425,0.016438356,572.55,3,3,3,9,At-Risk,0,At-Risk
C00066,17,11,2891,262.8181818,0.030136986,2891,5,4,4,13,Champions,3,At-Risk
C00067,338,1,53.64,53.64,0.002739726,53.64,1,1,1,3,Dormant,2,Dormant
C00068,13,14,4434.02,316.7157143,0.038356164,4434.02,5,5,5,15,Champions,1,Loyalists
C00069,348,2,117.02,58.51,0.005479452,117.02,1,1,1,3,Dormant,2,Dormant
C00070,134,3,236.22,78.74,0.008219178,236.22,2,2,2,6,At-Risk,0,At-Risk
C00071,17,20,6314.2668,315.71334,0.054794521,6314.2668,5,5,5,15,Champions,1,Loyalists
C00072,15,11,3052.7934,277.5266727,0.030136986,3052.7934,5,4,4,13,Champions,3,At-Risk
C00073,291,2,120.5,60.25,0.005479452,120.5,1,1,2,4,Dormant,2,Dormant
C00074,100,2,248.15,124.075,0.005479452,248.15,3,1,2,6,At-Risk,0,At-Risk
C00075,115,3,221.64,73.88,0.008219178,221.64,3,2,2,7,At-Risk,0,At-Risk
C00076,119,3,211.08,70.36,0.008219178,211.08,3,2,2,7,At-Risk,0,At-Risk
C00077,17,15,4257.3734,283.8248933,0.04109589,4257.3734,5,5,5,15,Champions,1,Loyalists
C00078,55,10,1693.33,169.333,0.02739726,1693.33,3,4,4,11,Loyalists,3,At-Risk
C00079,12,8,2508.59,313.57375,0.021917808,2508.59,5,4,4,13,Champions,3,At-Risk
C00080,314,1,56.18,56.18,0.002739726,56.18,1,1,1,3,Dormant,2,Dormant
C00081,205,1,53.22,53.22,0.002739726,53.22,2,1,1,4,Dormant,2,Dormant
C00082,45,12,2194.76,182.8966667,0.032876712,2194.76,4,4,4,12,Loyalists,3,At-Risk
C00083,8,26,7658.8134,294.5697462,0.071232877,7658.8134,5,5,5,15,Champions,1,Loyalists
C00084,23,8,1480.78,185.0975,0.021917808,1480.78,4,4,4,12,Loyalists,3,At-Risk
C00085,46,6,957.47,159.5783333,0.016438356,957.47,4,3,3,10,Loyalists,3,At-Risk
C00086,129,8,682.17,85.27125,0.021917808,682.17,2,4,3,9,At-Risk,0,At-Risk
C00087,152,5,406.9,81.38,0.01369863,406.9,2,3,3,8,At-Risk,0,At-Risk
C00088,417,1,51.69,51.69,0.002739726,51.69,1,1,1,3,Dormant,2,Dormant
C00089,64,4,587.09,146.7725,0.010958904,587.09,3,2,3,8,At-Risk,0,At-Risk
C00090,12,11,3551.58,322.8709091,0.030136986,3551.58,5,4,5,14,Champions,1,Loyalists
C00091,140,1,32.44,32.44,0.002739726,32.44,2,1,1,4,Dormant,2,Dormant
C00092,138,6,372.97,62.16166667,0.016438356,372.97,2,3,3,8,At-Risk,0,At-Risk
C00093,94,5,333.23,66.646,0.01369863,333.23,3,3,2,8,At-Risk,0,At-Risk
C00094,130,3,221.11,73.70333333,0.008219178,221.11,2,2,2,6,At-Risk,0,At-Risk
C00095,63,4,762.02,190.505,0.010958904,762.02,3,2,3,8,At-Risk,0,At-Risk
C00096,145,3,274.97,91.65666667,0.008219178,274.97,2,2,2,6,At-Risk,0,At-Risk
C00097,60,8,1248.24,156.03,0.021917808,1248.24,3,4,4,11,Loyalists,3,At-Risk
C00098,24,15,4531.86,302.124,0.04109589,4531.86,4,5,5,14,Champions,1,Loyalists
C00099,15,15,4446.9734,296.4648933,0.04109589,4446.9734,5,5,5,15,Champions,1,Loyalists
C00100,29,2,522.29,261.145,0.005479452,522.29,4,1,3,8,At-Risk,0,At-Risk
C00101,142,2,181.46,90.73,0.005479452,181.46,2,1,2,5,Dormant,0,At-Risk
C00102,75,9,1276.07,141.7855556,0.024657534,1276.07,3,4,4,11,Loyalists,3,At-Risk
C00103,128,7,825.57,117.9385714,0.019178082,825.57,2,3,3,8,At-Risk,0,At-Risk
C00104,301,2,66.85,33.425,0.005479452,66.85,1,1,1,3,Dormant,2,Dormant
C00105,7,10,3267.6634,326.76634,0.02739726,3267.6634,5,4,5,14,Champions,1,Loyalists
C00106,21,10,1539.99,153.999,0.02739726,1539.99,4,4,4,12,Loyalists,3,At-Risk
C00107,131,2,261.89,130.945,0.005479452,261.89,2,1,2,5,Dormant,0,At-Risk
C00108,17,7,2210.44,315.7771429,0.019178082,2210.44,5,3,4,12,Loyalists,3,At-Risk
C00109,16,10,3049.1,304.91,0.02739726,3049.1,5,4,4,13,Champions,3,At-Risk
C00110,70,7,1265.7,180.8142857,0.019178082,1265.7,3,3,4,10,Loyalists,3,At-Risk
C00111,17,12,3277.9334,273.1611167,0.032876712,3277.9334,5,4,5,14,Champions,1,Loyalists
C00112,357,2,133.41,66.705,0.005479452,133.41,1,1,2,4,Dormant,2,Dormant
C00113,383,1,28.9,28.9,0.002739726,28.9,1,1,1,3,Dormant,2,Dormant
C00114,168,4,106.36,26.59,0.010958904,106.36,2,2,1,5,Dormant,2,Dormant
C00115,267,3,138.01,46.00333333,0.008219178,138.01,1,2,2,5,Dormant,2,Dormant
C00116,346,1,87.16,87.16,0.002739726,87.16,1,1,1,3,Dormant,2,Dormant
C00117,13,20,5612.03,280.6015,0.054794521,5612.03,5,5,5,15,Champions,1,Loyalists
C00118,376,3,112.19,37.39666667,0.008219178,112.19,1,2,1,4,Dormant,2,Dormant
C00119,118,4,258.82,64.705,0.010958904,258.82,3,2,2,7,At-Risk,0,At-Risk
C00120,265,1,19.37,19.37,0.002739726,19.37,1,1,1,3,Dormant,2,Dormant
C00121,292,3,170.62,56.87333333,0.008219178,170.62,1,2,2,5,Dormant,2,Dormant
C00122,30,8,1378.34,172.2925,0.021917808,1378.34,4,4,4,12,Loyalists,3,At-Risk
C00123,14,11,2882.14,262.0127273,0.030136986,2882.14,5,4,4,13,Champions,3,At-Risk
C00124,14,23,6982.39,303.5821739,0.063013699,6982.39,5,5,5,15,Champions,1,Loyalists
C00125,54,8,1278.33,159.79125,0.021917808,1278.33,3,4,4,11,Loyalists,3,At-Risk
C00126,342,2,91.21,45.605,0.005479452,91.21,1,1,1,3,Dormant,2,Dormant
C00127,306,2,53.32,26.66,0.005479452,53.32,1,1,1,3,Dormant,2,Dormant
C00128,1,9,2942.63,326.9588889,0.024657534,2942.63,5,4,4,13,Champions,1,Loyalists
C00129,101,3,262.66,87.55333333,0.008219178,262.66,3,2,2,7,At-Risk,0,At-Risk
C00130,60,12,1835.08,152.9233333,0.032876712,1835.08,3,4,4,11,Loyalists,3,At-Risk
C00131,8,23,6919.16,300.8330435,0.063013699,6919.16,5,5,5,15,Champions,1,Loyalists
C00132,13,3,1186.4934,395.4978,0.008219178,1186.4934,5,2,4,11,Loyalists,3,At-Risk
C00133,32,6,906.63,151.105,0.016438356,906.63,4,3,3,10,Loyalists,3,At-Risk
C00134,334,1,51.54,51.54,0.002739726,51.54,1,1,1,3,Dormant,2,Dormant
C00135,64,3,485.87,161.9566667,0.008219178,485.87,3,2,3,8,At-Risk,0,At-Risk
C00136,119,4,191.19,47.7975,0.010958904,191.19,3,2,2,7,At-Risk,0,At-Risk
C00137,126,7,653.96,93.42285714,0.019178082,653.96,2,3,3,8,At-Risk,0,At-Risk
C00138,42,8,1201.75,150.21875,0.021917808,1201.75,4,4,4,12,Loyalists,3,At-Risk
C00139,420,1,77.95,77.95,0.002739726,77.95,1,1,1,3,Dormant,2,Dormant
C00140,311,1,71.88,71.88,0.002739726,71.88,1,1,1,3,Dormant,2,Dormant
C00141,31,6,770.97,128.495,0.016438356,770.97,4,3,3,10,Loyalists,3,At-Risk
C00142,40,2,326.49,163.245,0.005479452,326.49,4,1,2,7,At-Risk,0,At-Risk
C00143,45,10,1467.46,146.746,0.02739726,1467.46,4,4,4,12,Loyalists,3,At-Risk
C00144,43,8,1135.49,141.93625,0.021917808,1135.49,4,4,4,12,Loyalists,3,At-Risk
C00145,5,13,3939.81,303.0623077,0.035616438,3939.81,5,5,5,15,Champions,1,Loyalists
C00146,47,3,316.23,105.41,0.008219178,316.23,4,2,2,8,At-Risk,0,At-Risk
C00147,128,6,645.81,107.635,0.016438356,645.81,2,3,3,8,At-Risk,0,At-Risk
C00148,11,23,7179.4868,312.1516,0.063013699,7179.4868,5,5,5,15,Champions,1,Loyalists
C00149,46,7,1004.97,143.5671429,0.019178082,1004.97,4,3,4,11,Loyalists,3,At-Risk
C00150,316,2,127.11,63.555,0.005479452,127.11,1,1,2,4,Dormant,2,Dormant
C00151,6,24,7197.2234,299.8843083,0.065753425,7197.2234,5,5,5,15,Champions,1,Loyalists
C00152,9,9,2912.8834,323.6537111,0.024657534,2912.8834,5,4,4,13,Champions,3,At-Risk
C00153,35,11,1520.14,138.1945455,0.030136986,1520.14,4,4,4,12,Loyalists,3,At-Risk
C00154,293,1,83.45,83.45,0.002739726,83.45,1,1,1,3,Dormant,2,Dormant
C00155,3,14,4293.68,306.6914286,0.038356164,4293.68,5,5,5,15,Champions,1,Loyalists
C00156,98,7,711.47,101.6385714,0.019178082,711.47,3,3,3,9,At-Risk,0,At-Risk
C00157,142,4,385.75,96.4375,0.010958904,385.75,2,2,3,7,At-Risk,0,At-Risk
C00158,7,17,4636.76,272.7505882,0.046575342,4636.76,5,5,5,15,Champions,1,Loyalists
C00159,115,1,111.24,111.24,0.002739726,111.24,3,1,1,5,Dormant,2,Dormant
C00160,44,10,1620.72,162.072,0.02739726,1620.72,4,4,4,12,Loyalists,3,At-Risk
C00161,136,1,64.46,64.46,0.002739726,64.46,2,1,1,4,Dormant,2,Dormant
C00162,153,7,722.81,103.2585714,0.019178082,722.81,2,3,3,8,At-Risk,0,At-Risk
C00163,141,6,562.46,93.74333333,0.016438356,562.46,2,3,3,8,At-Risk,0,At-Risk
C00164,16,12,3563.79,296.9825,0.032876712,3563.79,5,4,5,14,Champions,1,Loyalists
C00165,430,1,53.89,53.89,0.002739726,53.89,1,1,1,3,Dormant,2,Dormant
C00166,32,7,1000.88,142.9828571,0.019178082,1000.88,4,3,4,11,Loyalists,3,At-Risk
C00167,4,12,3874.97,322.9141667,0.032876712,3874.97,5,4,5,14,Champions,1,Loyalists
C00168,8,8,2387.47,298.43375,0.021917808,2387.47,5,4,4,13,Champions,3,At-Risk
C00169,119,8,938.51,117.31375,0.021917808,938.51,3,4,3,10,Loyalists,0,At-Risk
C00170,123,3,384.13,128.0433333,0.008219178,384.13,2,2,3,7,At-Risk,0,At-Risk
C00171,10,15,4363.84,290.9226667,0.04109589,4363.84,5,5,5,15,Champions,1,Loyalists
C00172,141,9,863.06,95.89555556,0.024657534,863.06,2,4,3,9,At-Risk,0,At-Risk
C00173,8,14,4105.95,293.2821429,0.038356164,4105.95,5,5,5,15,Champions,1,Loyalists
C00174,107,6,451.32,75.22,0.016438356,451.32,3,3,3,9,At-Risk,0,At-Risk
C00175,26,21,5815.58,276.932381,0.057534247,5815.58,4,5,5,14,Champions,1,Loyalists
C00176,164,2,202.29,101.145,0.005479452,202.29,2,1,2,5,Dormant,0,At-Risk
C00177,56,2,272.37,136.185,0.005479452,272.37,3,1,2,6,At-Risk,0,At-Risk
C00178,379,1,67.53,67.53,0.002739726,67.53,1,1,1,3,Dormant,2,Dormant
C00179,6,2,533.7,266.85,0.005479452,533.7,5,1,3,9,At-Risk,3,At-Risk
C00180,78,10,1317.45,131.745,0.02739726,1317.45,3,4,4,11,Loyalists,3,At-Risk
C00181,6,13,4199.0734,323.0056462,0.035616438,4199.0734,5,5,5,15,Champions,1,Loyalists
C00182,310,1,87.6,87.6,0.002739726,87.6,1,1,1,3,Dormant,2,Dormant
C00183,268,1,35.5,35.5,0.002739726,35.5,1,1,1,3,Dormant,2,Dormant
C00184,35,5,835.24,167.048,0.01369863,835.24,4,3,3,10,Loyalists,3,At-Risk
C00185,120,8,891.14,111.3925,0.021917808,891.14,2,4,3,9,At-Risk,0,At-Risk
C00186,296,1,102.76,102.76,0.002739726,102.76,1,1,1,3,Dormant,2,Dormant
C00187,124,4,275.89,68.9725,0.010958904,275.89,2,2,2,6,At-Risk,0,At-Risk
C00188,180,3,281.36,93.78666667,0.008219178,281.36,2,2,2,6,At-Risk,0,At-Risk
C00189,15,17,5412.1,318.3588235,0.046575342,5412.1,5,5,5,15,Champions,1,Loyalists
C00190,7,19,6304.4368,331.8124632,0.052054795,6304.4368,5,5,5,15,Champions,1,Loyalists
C00191,440,1,73.92,73.92,0.002739726,73.92,1,1,1,3,Dormant,2,Dormant
C00192,310,1,19.05,19.05,0.002739726,19.05,1,1,1,3,Dormant,2,Dormant
C00193,121,4,336.59,84.1475,0.010958904,336.59,2,2,2,6,At-Risk,0,At-Risk
C00194,50,8,1067.63,133.45375,0.021917808,1067.63,4,4,4,12,Loyalists,3,At-Risk
C00195,44,8,1160.86,145.1075,0.021917808,1160.86,4,4,4,12,Loyalists,3,At-Risk
C00196,100,1,81.88,81.88,0.002739726,81.88,3,1,1,5,Dormant,2,Dormant
C00197,376,1,15.29,15.29,0.002739726,15.29,1,1,1,3,Dormant,2,Dormant
C00198,375,1,47.19,47.19,0.002739726,47.19,1,1,1,3,Dormant,2,Dormant
C00199,149,4,350.54,87.635,0.010958904,350.54,2,2,2,6,At-Risk,0,At-Risk
C00200,102,5,440.12,88.024,0.01369863,440.12,3,3,3,9,At-Risk,0,At-Risk
C00201,14,17,4981.39,293.0229412,0.046575342,4981.39,5,5,5,15,Champions,1,Loyalists
C00202,10,16,4966.13,310.383125,0.043835616,4966.13,5,5,5,15,Champions,1,Loyalists
C00203,244,1,42.83,42.83,0.002739726,42.83,1,1,1,3,Dormant,2,Dormant
C00204,162,7,430.91,61.55857143,0.019178082,430.91,2,3,3,8,At-Risk,0,At-Risk
C00205,14,18,4956.11,275.3394444,0.049315068,4956.11,5,5,5,15,Champions,1,Loyalists
C00206,10,16,4798.2,299.8875,0.043835616,4798.2,5,5,5,15,Champions,1,Loyalists
C00207,188,3,324.69,108.23,0.008219178,324.69,2,2,2,6,At-Risk,0,At-Risk
C00208,25,8,2622.62,327.8275,0.021917808,2622.62,4,4,4,12,Loyalists,3,At-Risk
C00209,15,16,5044.04,315.2525,0.043835616,5044.04,5,5,5,15,Champions,1,Loyalists
C00210,155,5,409.29,81.858,0.01369863,409.29,2,3,3,8,At-Risk,0,At-Risk
C00211,99,4,302.78,75.695,0.010958904,302.78,3,2,2,7,At-Risk,0,At-Risk
C00212,128,1,100.72,100.72,0.002739726,100.72,2,1,1,4,Dormant,2,Dormant
C00213,6,14,4267.2,304.8,0.038356164,4267.2,5,5,5,15,Champions,1,Loyalists
C00214,182,3,234.82,78.27333333,0.008219178,234.82,2,2,2,6,At-Risk,0,At-Risk
C00215,15,22,6681.1268,303.6875818,0.060273973,6681.1268,5,5,5,15,Champions,1,Loyalists
C00216,32,7,935.35,133.6214286,0.019178082,935.35,4,3,3,10,Loyalists,3,At-Risk
C00217,161,1,74.12,74.12,0.002739726,74.12,2,1,1,4,Dormant,2,Dormant
C00218,113,3,318.26,106.0866667,0.008219178,318.26,3,2,2,7,At-Risk,0,At-Risk
C00219,276,2,64.98,32.49,0.005479452,64.98,1,1,1,3,Dormant,2,Dormant
C00220,122,4,347.55,86.8875,0.010958904,347.55,2,2,2,6,At-Risk,0,At-Risk
C00221,172,3,329.41,109.8033333,0.008219178,329.41,2,2,2,6,At-Risk,0,At-Risk
C00222,28,7,2097.11,299.5871429,0.019178082,2097.11,4,3,4,11,Loyalists,3,At-Risk
C00223,26,8,1218.74,152.3425,0.021917808,1218.74,4,4,4,12,Loyalists,3,At-Risk
C00224,33,9,1172.4,130.2666667,0.024657534,1172.4,4,4,4,12,Loyalists,3,At-Risk
C00225,16,8,2473.74,309.2175,0.021917808,2473.74,5,4,4,13,Champions,3,At-Risk
C00226,296,2,100.3,50.15,0.005479452,100.3,1,1,1,3,Dormant,2,Dormant
C00227,39,11,1691.8,153.8,0.030136986,1691.8,4,4,4,12,Loyalists,3,At-Risk
C00228,302,2,119.92,59.96,0.005479452,119.92,1,1,2,4,Dormant,2,Dormant
C00229,99,3,125.37,41.79,0.008219178,125.37,3,2,2,7,At-Risk,0,At-Risk
C00230,144,2,124.91,62.455,0.005479452,124.91,2,1,2,5,Dormant,2,Dormant
C00231,121,5,468.56,93.712,0.01369863,468.56,2,3,3,8,At-Risk,0,At-Risk
C00232,171,4,419.85,104.9625,0.010958904,419.85,2,2,3,7,At-Risk,0,At-Risk
C00233,77,13,1926.63,148.2023077,0.035616438,1926.63,3,5,4,12,Loyalists,3,At-Risk
C00234,13,15,4499.2334,299.9488933,0.04109589,4499.2334,5,5,5,15,Champions,1,Loyalists
C00235,113,4,276.18,69.045,0.010958904,276.18,3,2,2,7,At-Risk,0,At-Risk
C00236,28,7,1090.1,155.7285714,0.019178082,1090.1,4,3,4,11,Loyalists,3,At-Risk
C00237,8,17,4707.92,276.9364706,0.046575342,4707.92,5,5,5,15,Champions,1,Loyalists
C00238,121,2,241.46,120.73,0.005479452,241.46,2,1,2,5,Dormant,0,At-Risk
C00239,3,21,7014.56,334.0266667,0.057534247,7014.56,5,5,5,15,Champions,1,Loyalists
C00240,313,1,40.02,40.02,0.002739726,40.02,1,1,1,3,Dormant,2,Dormant
C00241,346,1,51.77,51.77,0.002739726,51.77,1,1,1,3,Dormant,2,Dormant
C00242,351,1,82.13,82.13,0.002739726,82.13,1,1,1,3,Dormant,2,Dormant
C00243,53,8,1156.72,144.59,0.021917808,1156.72,3,4,4,11,Loyalists,3,At-Risk
C00244,16,17,5034.39,296.1405882,0.046575342,5034.39,5,5,5,15,Champions,1,Loyalists
C00245,317,1,41.29,41.29,0.002739726,41.29,1,1,1,3,Dormant,2,Dormant
C00246,41,7,1016.94,145.2771429,0.019178082,1016.94,4,3,4,11,Loyalists,3,At-Risk
C00247,259,3,173.55,57.85,0.008219178,173.55,1,2,2,5,Dormant,2,Dormant
C00248,311,1,35.04,35.04,0.002739726,35.04,1,1,1,3,Dormant,2,Dormant
C00249,232,2,57.06,28.53,0.005479452,57.06,1,1,1,3,Dormant,2,Dormant
C00250,80,4,594.09,148.5225,0.010958904,594.09,3,2,3,8,At-Risk,0,At-Risk
C00251,55,8,1042.06,130.2575,0.021917808,1042.06,3,4,4,11,Loyalists,3,At-Risk
C00252,361,1,97.43,97.43,0.002739726,97.43,1,1,1,3,Dormant,2,Dormant
C00253,59,9,1318.95,146.55,0.024657534,1318.95,3,4,4,11,Loyalists,3,At-Risk
C00254,6,11,3252.6934,295.6994,0.030136986,3252.6934,5,4,5,14,Champions,1,Loyalists
C00255,187,6,581.82,96.97,0.016438356,581.82,2,3,3,8,At-Risk,0,At-Risk
C00256,360,1,41.86,41.86,0.002739726,41.86,1,1,1,3,Dormant,2,Dormant
C00257,128,5,297.24,59.448,0.01369863,297.24,2,3,2,7,At-Risk,0,At-Risk
C00258,114,5,460.49,92.098,0.01369863,460.49,3,3,3,9,At-Risk,0,At-Risk
C00259,20,11,3373.37,306.67,0.030136986,3373.37,4,4,5,13,Champions,3,At-Risk
C00260,110,2,190.76,95.38,0.005479452,190.76,3,1,2,6,At-Risk,0,At-Risk
C00261,278,1,75.81,75.81,0.002739726,75.81,1,1,1,3,Dormant,2,Dormant
C00262,8,21,6194.7,294.9857143,0.057534247,6194.7,5,5,5,15,Champions,1,Loyalists
C00263,68,4,305.55,76.3875,0.010958904,305.55,3,2,2,7,At-Risk,0,At-Risk
C00264,256,2,64.19,32.095,0.005479452,64.19,1,1,1,3,Dormant,2,Dormant
C00265,149,4,296.88,74.22,0.010958904,296.88,2,2,2,6,At-Risk,0,At-Risk
C00266,153,5,327.41,65.482,0.01369863,327.41,2,3,2,7,At-Risk,0,At-Risk
C00267,139,6,525.11,87.51833333,0.016438356,525.11,2,3,3,8,At-Risk,0,At-Risk
C00268,25,9,1234.75,137.1944444,0.024657534,1234.75,4,4,4,12,Loyalists,3,At-Risk
C00269,51,9,1551.23,172.3588889,0.024657534,1551.23,4,4,4,12,Loyalists,3,At-Risk
C00270,347,1,5,5,0.002739726,5,1,1,1,3,Dormant,2,Dormant
C00271,365,2,160.83,80.415,0.005479452,160.83,1,1,2,4,Dormant,2,Dormant
C00272,307,4,290.46,72.615,0.010958904,290.46,1,2,2,5,Dormant,0,At-Risk
C00273,302,2,126.35,63.175,0.005479452,126.35,1,1,2,4,Dormant,2,Dormant
C00274,109,8,791.87,98.98375,0.021917808,791.87,3,4,3,10,Loyalists,0,At-Risk
C00275,90,3,216.57,72.19,0.008219178,216.57,3,2,2,7,At-Risk,0,At-Risk
C00276,104,2,140.65,70.325,0.005479452,140.65,3,1,2,6,At-Risk,0,At-Risk
C00277,108,2,143.54,71.77,0.005479452,143.54,3,1,2,6,At-Risk,0,At-Risk
C00278,126,3,280.49,93.49666667,0.008219178,280.49,2,2,2,6,At-Risk,0,At-Risk
C00279,149,2,147.67,73.835,0.005479452,147.67,2,1,2,5,Dormant,2,Dormant
C00280,338,3,112.11,37.37,0.008219178,112.11,1,2,1,4,Dormant,2,Dormant
C00281,62,11,1972.51,179.3190909,0.030136986,1972.51,3,4,4,11,Loyalists,3,At-Risk
C00282,67,11,2003.86,182.1690909,0.030136986,2003.86,3,4,4,11,Loyalists,3,At-Risk
C00283,22,14,3639.57,259.9692857,0.038356164,3639.57,4,5,5,14,Champions,1,Loyalists
